"respid","rlh","prop.corr","ind.coef_1","ind.coef_2","ind.coef_3","ind.coef_4","ind.coef_5","ind.coef_6","ind.coef_7","ind.coef_8","ind.coef_9","ind.coef_10","ind.coef_11","ind.coef_12","ind.coef_13","ind.coef_14","ind.coef_15","ind.coef_16","ind.coef_17","ind.coef_18","ind.coef_19","ind.coef_20","ind.coef_21","ind.coef_22","ind.coef_23","ind.coef_24","ind.coef_25","cls.memb","cls.memb.prob_1","cls.memb.prob_2","cls.memb.prob_3","version","pick_1","pick_2","pick_3","pick_4","pick_5","pick_6","pick_7","pick_8","pick_9","pick_10"
"1","0.85630855999262478","1","0","-2.6031023355245075","0","2.839336413256452","5.3157904906315938","7.5328822576245678","8.9981731717261759","0","-0.17502864834187154","0","0.069838380292082225","0","-0.20974100791525851","0","-0.25619127422267163","0","-0.023299796257630633","0","-0.2198426548621491","0","-0.17546895063688736","0","-0.27986726963680897","0","-0.37432486415231442","2","0.00075166269800155266","0.99924833730199736","9.369657403158391E-16","5","3","3","3","3","3","3","3","3","3","3"
"2","0.67707796571947909","0.90000000000000002","0","-3.0032600988513787","0","2.7513271163608728","4.8374606911225726","6.8247817963234239","7.8617105930621181","0","-0.20476959725662375","0","0.12540410979643885","0","-0.1995766816283967","0","-0.14468012331831623","0","-0.10993828707702052","0","-0.21075604539521942","0","-0.17732333695690602","0","-0.38157817972325958","0","-0.30417063352394835","2","0.0029420978818210336","0.99705790211816547","1.3390847147767404E-14","1","3","3","3","3","3","2","3","3","3","3"
"3","0.68863954972307173","0.90000000000000002","0","-7.4631800136787803","0","1.7620774754169428","-1.4036258127283288","-3.3485038933459004","-5.0201575299843322","0","-0.1297910108990438","0","-0.22417020441926369","0","-0.18049882830132086","0","-0.39678135954365695","0","-0.37103287390301665","0","-0.21914249541077227","0","-0.10986194744846854","0","-0.25141771994980561","0","-0.12149077747581047","3","0.0057644647887915507","1.2534479178536948E-11","0.99423553519867469","12","2","1","1","1","1","1","1","1","2","1"
"4","0.3446755061983019","0.59999999999999998","0","-6.6225886530992728","0","1.7133303474675974","1.3837557023839482","0.17684692356280154","-1.7228253680006997","0","-0.27932728923099909","0","-0.41088259107510194","0","-0.24736847870316525","0","0.21393969004950436","0","-0.12456365639495001","0","-0.23022868220312531","0","-0.14911666500984327","0","0.073879647635329851","0","-0.2447135080315023","1","0.99944965111694795","1.0138328988788893E-06","0.00054933505015283325","6","2","2","1","2","2","1","1","2","2","1"
"5","0.47260428574243152","0.80000000000000004","0","-5.3523628819012989","0","2.9558102526444801","2.8609563022651363","0.98558564613978561","-1.2874812993047235","0","-0.19304760627826387","0","-0.24345930158254603","0","-0.15307435684534171","0","-0.29869380349177121","0","-0.20724589554665224","0","-0.20984292319623091","0","-0.25849201403451827","0","-0.15904225623166299","0","-0.075109283975294081","1","0.99990335931240915","2.6943941890356934E-07","9.6371248171875278E-05","7","2","2","1","1","2","2","1","3","1","2"
"6","0.53373346898203311","0.90000000000000002","0","-0.59090214422299292","0","4.2226943614405865","3.0333953634755995","0.21106261856798228","-2.2317289055900664","0","-0.81684019297308841","0","-0.2821123339098805","0","-0.26738494296799487","0","-0.66291633663590566","0","-0.25287735537356609","0","-0.2298559908577173","0","-0.3506673497974348","0","-0.62520488560037113","0","-0.25993761034209067","3","0.069279774309050163","5.7948087396975509E-07","0.93071964621007497","16","2","1","2","4","2","2","2","1","1","2"
"7","0.71851332089855879","0.90000000000000002","0","-3.205844628167358","0","2.8483901995248946","4.9907331713896061","6.114781217232987","7.8612508606788607","0","-0.30088310601790647","0","-0.083670984712921379","0","-0.2346755399942865","0","0.020597007610016843","0","-0.22004064482142355","0","-0.22457843645798442","0","-0.15574941495994649","0","-0.21811566033461888","0","-0.50239289006294907","2","0.0016936546678695999","0.99830634533211493","1.5262328605180724E-14","8","3","3","3","3","2","3","3","3","3","3"
"8","0.46359106913489984","0.80000000000000004","0","-6.7820834876605396","0","1.7152851625713503","0.4945783009531074","-1.8377186580295928","-4.2697478566046581","0","-0.086546072216825795","0","-0.089739374727355631","0","-0.0933140091747654","0","-0.57721181863178284","0","-0.29228428395575534","0","-0.2050525446396517","0","-0.27359338919693738","0","-0.4825247338754588","0","0.12949131098578101","1","0.70869947110446163","2.3769336106979234E-09","0.29130052651860427","19","2","1","1","2","1","2","2","2","1","1"
"9","0.52518906566704604","0.80000000000000004","0","-6.0521747066217522","0","2.3780436386139407","2.6550475606865067","0.1232858744376391","-2.5389510458569835","0","-0.37004965111635935","0","0.20955113505876624","0","-0.20131512074358374","0","-0.5792750361993575","0","-0.011980657813370318","0","-0.20221882101869146","0","-0.23623319957837313","0","-0.18802898486177394","0","-0.043935695517602048","1","0.99844876684507566","6.6985656166651393E-07","0.0015505632983624403","9","2","1","2","1","2","2","2","2","2","2"
"10","0.37293834045572594","0.80000000000000004","0","-6.6066215608013525","0","0.93088170884362875","-0.79097674252172545","-0.8357362377389328","-1.0268353503659056","0","-0.19575986165986659","0","-0.67393438557249985","0","-0.1539184134651338","0","-0.081873782264541062","0","-0.27156235036344262","0","-0.22286829940785086","0","0.075366536771917944","0","-0.62468612292631842","0","-0.31386525466799842","1","0.99932184101355626","1.1349694073315797E-05","0.00066680929236883658","20","3","2","1","3","2","2","1","3","1","1"
"11","0.39406272563500583","0.69999999999999996","0","-3.838115886219855","0","3.0809337225689939","3.1201386796480945","3.2916998787468295","2.1252913574101768","0","-0.2265589948721432","0","-0.028576114271607493","0","-0.24421115099277624","0","-0.62328502969343869","0","0.1033726887736619","0","-0.18764890447842505","0","-0.17896701118010555","0","-0.82232076047725722","0","-0.043383968895737486","1","0.9631619926024455","0.03683787969228302","1.277052718891894E-07","4","3","2","2","3","1","2","3","2","3","2"
"12","0.50892387798354333","0.90000000000000002","0","-3.9062978466237657","0","3.3022459813926663","5.0336212761024033","3.9656945020557104","2.1761076236221149","0","-0.65815647847105174","0","-0.12707766510152041","0","-0.31005206617746572","0","0.059304500113510024","0","-0.16265672576044968","0","-0.21359781517825252","0","-0.22100056342367597","0","-0.58463172112875328","0","-0.17539839088539774","1","0.99279982923762655","0.0072001568816374949","1.3880735603198251E-08","11","3","2","2","2","2","2","2","2","3","3"
"13","0.62033961610109045","0.80000000000000004","0","-6.0049311588448653","0","3.325769263364859","2.6253330687928305","-0.18453007269272637","-2.4932232319509868","0","-0.5046680974745873","0","-0.20871871419392765","0","-0.21084239131091911","0","-0.058269563144845243","0","-0.2964062418825576","0","-0.21517980416908025","0","-0.16946071475010643","0","-0.048609416429545887","0","-0.21071860762391526","1","0.98845454624106888","1.0108142051572422E-08","0.011545443650789754","2","2","1","2","1","1","1","2","2","2","1"
"14","0.4784168035249709","0.69999999999999996","0","-0.159303235942548","0","2.2392496396022961","-0.95679747601005238","-2.840418093381158","-4.1499681007785352","0","-0.1277419965386184","0","-0.73048487675570284","0","-0.34418727331198934","0","-0.90070804046882547","0","-0.30967452984275179","0","-0.22621859061334521","0","-0.21888493292817654","0","-0.13066700013162338","0","-0.2443253230801502","3","5.5574936220510212E-09","3.6710579168027886E-11","0.99999999440579579","13","4","1","4","4","1","1","4","1","1","1"
"15","0.60805084238270002","0.80000000000000004","0","-4.8142324247577859","0","2.4683910624659431","5.2509636146784908","4.6488857549644163","2.4572235633975099","0","-0.20713728800852454","0","0.12546998805883672","0","-0.13846845899424762","0","-0.037424752131171586","0","-0.25616073954568241","0","-0.21865156281307141","0","-0.24989925933595281","0","-0.01934129321142344","0","-0.11021989024392469","1","0.99821032722651326","0.0017896708258061719","1.947680644112213E-09","19","2","3","2","2","3","3","2","3","3","1"
