respid,version,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10
1,5,3,3,3,3,3,3,3,3,3,3
2,1,3,3,3,3,3,2,3,3,3,3
3,12,2,1,1,1,1,1,1,1,2,1
4,6,2,2,1,2,2,1,1,2,2,1
5,7,2,2,1,1,2,2,1,3,1,2
6,16,2,1,2,4,2,2,2,1,1,2
7,8,3,3,3,3,2,3,3,3,3,3
8,19,2,1,1,2,1,2,2,2,1,1
9,9,2,1,2,1,2,2,2,2,2,2
10,20,3,2,1,3,2,2,1,3,1,1
11,4,3,2,2,3,1,2,3,2,3,2
12,11,3,2,2,2,2,2,2,2,3,3
13,2,2,1,2,1,1,1,2,2,2,1
14,13,4,1,4,4,1,1,4,1,1,1
15,19,2,3,2,2,3,3,2,3,3,1
16,15,3,2,2,3,3,1,3,2,1,2
17,15,3,4,2,3,4,2,4,3,3,4
18,3,2,1,2,2,1,2,2,2,2,1
19,11,2,1,1,2,2,1,1,1,2,1
20,15,3,2,2,3,2,2,2,2,3,2
21,8,2,1,3,2,2,1,2,1,2,2
22,8,2,2,2,2,1,2,1,1,2,1
23,5,2,1,2,2,1,2,1,2,2,3
24,18,3,3,2,3,3,3,3,3,2,3
25,17,2,3,1,3,1,2,3,1,3,2
26,20,3,3,2,3,3,3,3,3,3,3
27,18,1,1,2,2,2,2,2,2,2,2
28,8,2,2,3,3,3,2,3,2,3,2
29,4,4,4,4,4,4,1,1,4,4,1
30,14,3,3,2,3,2,3,4,2,3,2
31,7,1,1,1,1,1,1,1,1,1,1
32,3,2,1,3,2,3,3,3,3,2,2
33,14,3,2,3,3,3,2,3,2,3,3
34,18,2,3,3,2,2,3,2,3,3,2
35,12,3,3,3,3,3,3,3,2,2,3
36,11,2,3,2,3,3,2,3,3,3,3
37,2,3,3,3,3,3,2,3,3,3,3
38,15,3,2,2,3,3,2,2,2,2,2
39,5,3,2,3,3,3,2,1,3,2,3
40,19,2,3,2,3,2,1,3,3,3,3
41,10,3,2,3,2,3,2,1,2,3,2
42,2,1,1,1,2,1,2,1,2,2,1
43,12,1,1,1,1,1,1,1,1,1,1
44,3,3,2,3,2,3,1,3,3,2,1
45,18,3,3,3,3,3,3,3,3,3,3
46,20,3,2,3,2,2,2,2,3,3,2
47,2,2,1,2,2,2,1,2,2,3,2
48,16,3,1,3,3,3,3,3,2,1,2
49,14,1,1,1,2,2,1,2,1,1,2
50,7,3,3,3,3,3,3,3,3,3,3
51,7,3,2,3,2,3,3,3,3,3,3
52,15,2,3,2,3,2,3,2,1,1,2
53,10,2,2,2,1,2,1,2,1,2,2
54,4,2,2,3,1,3,2,2,3,1,3
55,11,1,1,1,1,1,1,1,1,1,1
56,2,2,1,3,2,1,4,2,1,3,2
57,18,1,2,1,2,3,2,3,1,2,2
58,18,3,2,2,3,3,3,3,3,2,3
59,18,2,2,3,3,3,3,3,2,2,3
60,19,2,2,3,2,4,2,2,4,2,3
61,19,1,2,1,1,1,2,1,1,2,1
62,19,2,1,2,3,2,1,3,3,1,2
63,1,3,2,3,2,3,3,2,3,2,3
64,8,3,2,2,3,2,2,3,2,3,2
65,3,4,4,4,4,4,4,4,4,4,4
66,5,1,4,1,1,1,2,2,4,1,1
67,15,2,2,2,1,4,3,3,1,3,1
68,8,2,1,1,3,2,2,1,3,2,2
69,4,3,3,2,3,3,2,3,3,2,3
70,17,1,1,1,2,2,1,2,1,3,3
71,19,2,2,2,2,2,3,2,2,2,1
72,16,3,3,3,4,4,4,4,4,4,4
73,8,3,3,3,3,3,3,3,3,3,3
74,6,2,1,3,3,2,3,2,3,1,2
75,17,3,2,3,2,3,1,2,3,3,3
76,2,3,2,3,2,3,1,2,3,2,3
77,17,1,2,1,2,3,3,2,2,3,2
78,13,3,3,3,3,2,3,2,3,2,3
79,3,3,3,2,1,2,3,1,2,3,1
80,7,2,1,1,1,3,2,2,2,1,1
81,1,3,3,3,2,3,2,3,3,2,3
82,5,3,3,3,3,3,3,2,3,3,3
83,16,3,3,3,3,3,3,3,2,2,4
84,2,3,2,3,2,2,1,2,3,2,2
85,8,1,1,1,1,1,1,1,1,1,1
86,12,2,3,1,1,3,2,1,2,2,3
87,6,2,3,2,3,2,3,2,2,3,3
88,4,2,2,1,2,2,2,3,2,2,2
89,10,2,3,2,3,2,3,2,3,2,3
90,1,2,1,2,2,1,1,2,2,1,1
91,15,1,1,1,1,1,1,1,1,1,1
92,15,1,2,2,2,2,1,2,2,2,3
93,18,3,2,3,2,3,1,2,3,2,3
94,10,1,1,1,1,1,1,1,1,1,1
95,8,3,3,3,3,3,3,3,3,3,3
96,7,2,2,2,1,3,2,2,3,2,2
97,9,3,2,2,3,1,2,3,2,3,1
98,14,3,2,3,3,2,2,3,2,2,3
99,15,3,3,3,2,1,1,3,3,3,2
100,12,2,1,3,1,1,3,3,3,3,1
101,7,3,2,3,2,3,1,3,2,3,3
102,20,2,3,2,2,3,2,1,2,3,3
103,8,4,4,4,4,4,4,4,4,4,4
104,10,2,3,3,2,4,3,2,3,2,1
105,13,2,2,1,2,2,2,3,1,3,2
106,9,4,4,4,4,4,4,4,4,4,4
107,3,3,4,3,3,4,3,2,3,2,3
108,18,1,1,2,2,2,2,2,1,2,2
109,16,2,2,2,2,3,2,2,2,1,3
110,13,4,4,4,4,4,4,4,4,4,4
111,19,2,2,2,2,2,2,2,2,2,1
112,11,2,3,3,3,3,3,3,3,3,3
113,6,2,3,2,3,2,3,3,2,3,3
114,4,2,2,1,2,3,2,4,2,3,2
115,20,2,3,2,3,2,3,3,2,2,3
116,16,2,3,3,4,3,3,3,4,2,4
117,11,3,2,2,2,2,1,2,2,3,2
118,15,2,2,2,2,3,3,3,2,2,2
119,5,2,3,3,3,2,3,2,3,2,3
120,7,2,4,4,2,2,4,2,4,2,4
121,10,2,2,2,1,4,1,1,1,4,2
122,17,3,2,3,2,2,2,2,2,2,3
123,7,2,3,2,1,2,3,2,1,2,3
124,15,3,3,3,2,4,3,2,3,3,3
125,5,3,2,3,1,3,3,2,3,2,1
126,13,2,2,1,2,2,3,2,2,2,3
127,10,2,2,2,2,2,2,4,1,2,2
128,20,2,3,2,2,4,2,2,4,3,4
129,18,2,3,1,2,3,1,3,2,3,2
130,14,2,2,2,1,3,3,3,3,2,1
131,9,3,3,3,3,3,3,3,3,3,3
132,10,4,1,1,4,1,1,4,1,1,4
133,6,1,2,2,4,2,2,2,2,2,2
134,10,1,4,4,1,4,4,2,4,1,4
135,14,3,3,4,3,2,2,1,2,3,2
136,13,3,3,1,2,3,2,2,3,2,2
137,6,2,3,2,3,1,2,2,3,3,3
138,20,4,4,1,4,1,4,4,4,1,1
139,4,2,1,3,2,1,2,3,1,1,2
140,9,2,3,2,2,3,3,2,3,2,3
141,5,2,3,2,2,2,3,3,2,2,2
142,13,1,2,1,2,2,2,2,1,2,2
143,11,2,3,2,3,3,3,2,2,3,3
144,9,1,1,1,1,1,2,1,2,1,1
145,9,2,3,2,3,3,1,3,3,1,1
146,8,4,4,4,4,4,4,4,4,4,4
147,11,1,2,2,2,3,1,2,2,1,2
148,6,1,2,2,2,2,1,4,2,2,2
149,20,2,3,2,3,2,2,3,2,2,3
150,15,1,1,1,1,1,1,1,1,1,1
151,3,3,3,1,2,3,3,1,3,1,3
152,17,3,2,3,3,3,3,3,3,3,3
153,10,2,1,1,1,1,1,1,4,1,1
154,18,3,2,4,2,3,4,3,1,3,4
155,10,2,2,3,2,2,2,2,1,2,2
156,12,2,2,2,3,3,3,3,3,3,2
157,4,1,1,1,1,1,2,2,1,1,2
158,11,3,3,2,2,2,2,2,3,3,2
159,2,2,2,1,1,1,1,2,1,1,1
160,8,1,1,4,3,3,3,3,3,3,3
161,5,3,3,3,2,3,3,3,3,3,3
162,20,3,3,4,4,4,4,3,3,3,4
163,4,4,1,4,4,1,4,4,1,4,4
164,5,1,2,1,2,2,2,2,2,3,2
165,7,3,1,3,3,3,3,3,3,2,3
166,19,2,2,2,3,4,4,3,3,3,3
167,15,3,3,3,3,3,3,4,4,3,3
168,16,4,4,4,4,4,4,4,4,4,4
169,17,1,2,3,3,2,3,1,2,3,1
170,13,3,3,3,3,3,3,3,3,3,3
171,13,1,1,1,4,1,2,2,2,1,1
172,6,4,4,4,4,4,4,4,4,4,4
173,14,2,1,3,3,1,2,2,2,1,3
174,16,3,2,3,2,3,1,2,3,2,3
175,19,4,4,4,4,4,4,4,4,4,4
176,18,3,2,2,2,2,3,3,2,2,3
177,11,2,3,2,3,1,2,3,2,3,2
178,18,2,2,3,3,3,2,3,2,3,2
179,12,1,1,1,1,1,1,1,1,1,1
180,7,3,2,4,2,3,4,3,4,2,4
181,20,2,1,3,3,3,2,2,2,2,3
182,9,2,3,2,2,2,3,2,3,2,3
183,13,3,1,3,3,2,2,2,1,1,1
184,17,2,2,2,2,2,2,2,3,2,3
185,7,3,3,3,2,3,3,3,3,2,3
186,18,2,3,3,2,2,3,2,3,2,2
187,20,2,2,1,1,1,1,1,2,1,1
188,1,2,2,3,2,2,2,2,2,2,2
189,19,2,1,2,2,1,2,2,2,2,1
190,7,2,3,1,1,2,3,2,3,2,2
191,15,3,3,3,3,3,3,3,3,3,3
192,1,4,2,4,4,4,4,2,1,4,4
193,6,2,2,2,2,2,2,2,2,2,2
194,4,3,2,3,2,3,1,2,3,2,1
195,4,1,2,1,1,1,1,1,2,1,1
196,17,3,3,3,3,3,3,2,3,2,4
197,8,2,2,3,3,2,2,2,2,2,2
198,8,2,3,2,3,2,3,1,3,2,3
199,15,1,1,1,1,1,2,1,1,2,1
200,3,1,1,1,1,2,1,1,1,1,1
201,12,3,1,2,3,2,2,2,2,3,1
202,19,2,3,2,2,3,3,2,3,3,1
203,12,3,1,2,3,2,2,2,2,3,1
204,19,2,1,3,2,1,2,3,2,1,2
205,16,2,2,3,2,2,2,3,2,2,3
206,7,3,1,2,2,2,2,3,3,2,2
207,13,2,3,1,2,2,1,1,2,2,1
208,3,3,2,2,2,3,2,2,2,2,2
209,2,2,2,3,1,2,1,3,2,2,1
210,2,2,1,1,2,1,2,1,1,2,1
211,13,4,4,4,4,4,4,4,4,4,4
212,2,3,2,1,2,2,1,3,2,1,2
213,19,2,3,3,2,3,3,3,2,3,2
214,12,3,3,3,3,3,3,3,2,3,2
215,16,3,2,3,2,2,3,3,2,1,3
216,5,2,2,2,1,1,2,3,2,1,1
217,18,2,2,3,3,3,2,3,3,3,2
218,17,2,3,2,2,3,3,1,2,2,3
219,4,2,3,2,2,2,3,2,2,2,3
220,19,2,1,3,2,3,1,3,2,3,2
221,7,4,4,4,4,4,4,4,4,4,4
222,6,2,3,2,2,1,2,2,3,2,2
223,16,2,2,3,3,4,3,3,3,3,2
224,9,2,1,2,1,2,2,2,2,1,1
225,13,1,2,1,2,2,1,3,1,2,2
226,12,3,2,2,2,2,3,2,3,2,3
227,16,2,3,3,2,3,2,2,2,2,3
228,7,2,3,2,1,3,1,2,3,2,4
229,4,2,2,3,2,1,2,3,2,3,2
230,1,1,3,2,1,3,1,2,3,1,2
231,11,2,3,1,2,3,2,2,3,1,2
232,4,2,3,2,2,2,3,3,2,2,3
233,7,3,3,3,3,4,3,4,4,3,3
234,14,2,2,2,3,2,2,3,2,2,3
235,16,3,3,2,3,3,2,3,3,3,2
236,18,3,2,3,3,2,3,3,2,2,3
237,14,2,3,2,4,3,1,3,4,3,2
238,13,2,1,3,2,2,3,1,2,3,2
239,6,3,2,3,3,2,3,2,3,2,3
240,12,2,2,1,2,2,2,2,2,3,2
241,20,2,3,3,2,2,1,3,2,3,2
242,17,1,2,3,1,2,3,1,2,3,2
243,10,2,3,4,4,2,1,4,1,2,2
244,4,2,3,1,1,2,3,2,1,2,1
245,11,2,2,2,2,2,2,2,2,2,3
246,8,1,1,1,1,1,1,1,1,1,1
247,15,2,3,2,2,3,2,3,2,3,3
248,18,2,1,3,2,3,2,3,2,2,2
249,19,3,3,2,3,3,3,3,3,3,3
250,4,3,3,3,3,3,3,3,3,3,3
251,16,2,3,2,2,3,3,3,3,3,3
252,6,2,2,3,2,3,3,2,2,2,2
253,16,3,3,3,3,3,3,4,3,3,4
254,8,3,3,3,3,3,3,3,3,3,3
255,17,3,3,3,3,3,2,2,1,3,3
256,12,2,3,1,2,3,1,3,3,3,3
257,3,2,3,3,3,3,3,3,3,3,3
258,12,3,3,3,2,1,1,1,1,3,3
259,1,2,3,1,3,2,1,2,3,1,3
260,1,1,3,3,3,3,3,3,3,3,2
261,13,1,1,1,1,1,1,1,1,1,1
262,1,2,3,2,3,3,3,2,1,2,3
263,9,3,3,3,2,3,3,3,3,3,3
264,4,2,3,2,3,3,4,4,3,3,3
265,15,1,1,1,1,2,1,1,2,1,2
266,14,3,3,3,3,3,3,3,3,2,3
267,16,4,4,4,4,4,4,4,4,4,4
268,17,1,3,3,3,4,4,2,4,2,4
269,7,2,4,1,4,4,4,4,4,4,2
270,8,3,1,1,2,2,2,2,2,2,3
271,14,3,3,2,2,2,3,4,3,3,2
272,5,1,1,1,1,1,1,4,1,1,1
273,14,2,2,2,2,3,3,3,3,3,2
274,14,1,1,2,3,2,2,2,2,2,2
275,14,3,3,2,3,3,3,3,3,3,2
276,13,3,2,2,3,3,2,2,3,2,2
277,3,2,2,3,2,3,2,3,2,2,3
278,11,3,3,3,3,3,3,3,3,3,3
279,5,3,2,3,1,2,2,3,2,3,2
280,3,3,2,3,2,2,2,3,3,3,3
281,15,3,3,3,3,3,3,3,3,3,3
282,17,3,2,4,3,4,3,3,3,3,4
